ID,Congressional District,Call Date,Disposition,Q1
62653,9,9/29/2020,D,
137143,12,10/1/2020,D,
40626,11,9/28/2020,Left Message,
134691,11,10/1/2020,D,
150251,6,10/2/2020,Left Message,
3531,1,9/28/2020,Wrong Number,
131920,10,10/1/2020,Left Message,
12507,1,9/29/2020,Wrong Number,
61709,8,9/29/2020,Left Message,
7385,1,9/28/2020,Left Message Recording,
51721,13,9/28/2020,D,
42125,11,9/28/2020,D,
35728,10,9/28/2020,Left Message,
136953,12,10/1/2020,Left Message,
102610,13,9/30/2020,D,
21904,1,10/01/2020,Wrong Number,
90539,10,9/30/2020,C,2
47632,12,9/28/2020,Left Message,
44515,12,9/28/2020,C,3 - Undecided
64150,9,9/29/2020,Left Message,
19334,1,9/30/2020,Left Message Recording,
65604,9,9/29/2020,D,
85432,8,9/30/2020,C,4
64033,9,9/29/2020,Left Message,
4421,1,9/28/2020,Left Message Recording,
21636,1,10/01/2020,Wrong Number,
124628,2,10/1/2020,Left Message,
160382,7,10/2/2020,C,1
94377,11,9/30/2020,Left Message,
66251,10,9/29/2020,D,
148270,5,10/2/2020,Left Message,
150360,6,10/2/2020,C,Undecided
10839,1,9/29/2020,Wrong Number,
56781,15,9/28/2020,Left Message,
74159,12,9/29/2020,Left Message,
128132,2,10/1/2020,Left Message,
61668,8,9/29/2020,Left Message,
41365,11,9/28/2020,D,
38123,11,9/28/2020,C,4 - Refused
76157,12,9/29/2020,C,4 - Refused
148449,5,10/2/2020,C,4
13920,1,9/29/2020,Answered,1
118855,2,10/1/2020,Left Message,
3943,1,9/28/2020,Wrong Number,
70115,11,9/29/2020,Left Message,
22097,1,10/01/2020,Wrong Number,
71251,11,9/29/2020,D,
35680,10,9/28/2020,C,1
118590,2,10/1/2020,Left Message,
75171,12,9/29/2020,D,
162190,7,10/2/2020,C,1
158288,7,10/2/2020,C,1
87242,8,9/30/2020,D,
30624,8,9/28/2020,D,
102082,12,9/30/2020,Left Message,
163414,8,10/2/2020,Left Message,
1371,1,9/28/2020,Left Message Recording,
858,1,9/28/2020,Left Message Recording,
45120,12,9/28/2020,D,
159309,7,10/2/2020,Left Message,
38471,11,9/28/2020,Left Message,
164887,8,10/2/2020,Left Message,
135586,11,10/1/2020,D,
126747,2,10/1/2020,Left Message,
3774,1,9/28/2020,Left Message Recording,
97413,12,9/30/2020,C,1
18538,1,9/30/2020,Wrong Number,
