,ID,Congressional District,Call Date,Disposition,Q1
416,70961,11,09/29/2020,Left Message,None
417,47876,12,09/28/2020,Bad Number,None
418,35465,10,09/28/2020,Left Message,None
419,66240,10,09/29/2020,Left Message,None
420,100972,12,09/30/2020,Bad Number,None
421,149119,6,10/02/2020,Bad Number,None
422,141939,2,10/02/2020,Left Message,None
423,118366,2,10/01/2020,Left Message,None
424,65966,10,09/29/2020,Left Message,None
425,72258,11,09/29/2020,Left Message,None
426,32256,9,09/28/2020,Bad Number,None
427,35741,10,09/28/2020,Left Message,None
428,2006,1,09/28/2020,Wrong Number,None
429,10280,1,09/29/2020,Wrong Number,None
430,8311,1,09/28/2020,Left Message,None
431,17106,1,09/30/2020,Wrong Number,None
432,22120,1,10/01/2020,Wrong Number,None
433,70897,11,09/29/2020,Bad Number,None
434,147369,4,10/02/2020,Bad Number,None
435,60746,8,09/29/2020,Left Message,None
436,160742,7,10/02/2020,Left Message,None
437,28744,8,09/28/2020,Answered,Refused
438,143576,3,10/02/2020,Left Message,None
439,104274,13,09/30/2020,Left Message,None
440,138490,14,10/01/2020,Left Message,None
441,3035,1,09/28/2020,Left Message,None
442,73341,11,09/29/2020,Left Message,None
443,138021,13,10/01/2020,Bad Number,None
444,55828,15,09/28/2020,Left Message,None
445,109704,15,09/30/2020,Bad Number,None
446,65714,9,09/29/2020,Left Message,None
447,141176,2,10/02/2020,Bad Number,None
448,4363,1,09/28/2020,Wrong Number,None
449,45427,12,09/28/2020,Left Message,None
450,23224,1,10/01/2020,Wrong Number,None
451,32163,9,09/28/2020,Bad Number,None
452,35485,10,09/28/2020,Left Message,None
453,148250,5,10/02/2020,Left Message,None
454,129418,8,10/01/2020,Bad Number,None
455,152036,6,10/02/2020,Bad Number,None
456,141843,2,10/02/2020,Left Message,None
457,154119,6,10/02/2020,Left Message,None
458,77262,12,09/29/2020,Left Message,None
459,34234,9,09/28/2020,Left Message,None
460,110664,15,09/30/2020,Left Message,None
461,95199,11,09/30/2020,Left Message,None
462,41271,11,09/28/2020,Left Message,None
463,34657,9,09/28/2020,Answered,Refused
464,87238,8,09/30/2020,Left Message,None
465,138166,13,10/01/2020,Bad Number,None
466,1230,1,09/28/2020,Wrong Number,None
467,104976,13,09/30/2020,Left Message,None
468,112678,1,10/01/2020,Answered,Refused
469,29856,8,09/28/2020,Bad Number,None
470,110917,15,09/30/2020,Left Message,None
471,132441,10,10/01/2020,Left Message,None
472,104605,13,09/30/2020,Bad Number,None
473,82058,14,09/29/2020,Bad Number,None
474,1537,1,09/28/2020,Wrong Number,None
475,131133,9,10/01/2020,Answered,No
476,63931,9,09/29/2020,Answered,Yes
477,38114,11,09/28/2020,Answered,Refused
478,5316,1,09/28/2020,Left Message,None
479,132515,10,10/01/2020,Bad Number,None
480,114144,1,10/01/2020,Answered,Yes
481,63413,9,09/29/2020,Left Message,None
482,29249,8,09/28/2020,Bad Number,None
483,138335,13,10/01/2020,Bad Number,None
484,110776,15,09/30/2020,Left Message,None
485,86339,8,09/30/2020,Left Message,None
486,37459,11,09/28/2020,Left Message,None
487,159958,7,10/02/2020,Left Message,None
488,87037,8,09/30/2020,Left Message,None
489,145199,3,10/02/2020,Left Message,None
490,104046,13,09/30/2020,Left Message,None
491,50875,13,09/28/2020,Left Message,None
492,27258,1,10/02/2020,Wrong Number,None
493,157322,7,10/02/2020,Left Message,None
494,153148,6,10/02/2020,Left Message,None
495,19216,1,09/30/2020,Wrong Number,None
496,136868,12,10/01/2020,Bad Number,None
497,90306,10,09/30/2020,Left Message,None
498,93350,11,09/30/2020,Left Message,None
499,88247,9,09/30/2020,Left Message,None
500,62487,8,09/29/2020,Answered,Refused
501,91305,10,09/30/2020,Left Message,None
502,135737,11,10/01/2020,Bad Number,None
503,46995,12,09/28/2020,Answered,Refused
504,24558,1,10/01/2020,Wrong Number,None
505,76623,12,09/29/2020,Left Message,None
506,147846,4,10/02/2020,Answered,Refused
507,95559,11,09/30/2020,Bad Number,None
508,162953,7,10/02/2020,Left Message,None
