,ID,Congressional District,Call Date,Disposition,Q1
226,21198,1,09/30/2020,Wrong Number,Undecided
227,24130,1,10/01/2020,Wrong Number,Undecided
228,149076,6,10/02/2020,Answered,Refused
229,162263,7,10/02/2020,Left Message,Undecided
230,17088,1,09/30/2020,Wrong Number,Undecided
231,30364,8,09/28/2020,Left Message,Undecided
232,51465,13,09/28/2020,Left Message,Undecided
233,131545,9,10/01/2020,Bad Number,Undecided
234,83615,15,09/29/2020,Left Message,Undecided
235,157486,7,10/02/2020,Answered,No
236,36903,10,09/28/2020,Bad Number,Undecided
237,145377,3,10/02/2020,Left Message,Undecided
238,159771,7,10/02/2020,Left Message,Undecided
239,37415,11,09/28/2020,Left Message,Undecided
240,86159,8,09/30/2020,Left Message,Undecided
241,45260,12,09/28/2020,Left Message,Undecided
242,73873,12,09/29/2020,Bad Number,Undecided
243,32663,9,09/28/2020,Bad Number,Undecided
244,28642,8,09/28/2020,Left Message,Undecided
245,137091,12,10/01/2020,Bad Number,Undecided
246,1963,1,09/28/2020,Wrong Number,Undecided
247,5233,1,09/28/2020,Left Message,Undecided
248,105206,13,09/30/2020,Left Message,Undecided
249,142544,3,10/02/2020,Left Message,Undecided
250,134099,11,10/01/2020,Bad Number,Undecided
251,150788,6,10/02/2020,Left Message,Undecided
252,139587,15,10/01/2020,Bad Number,Undecided
253,44982,12,09/28/2020,Left Message,Undecided
254,41526,11,09/28/2020,Left Message,Undecided
255,154570,6,10/02/2020,Bad Number,Undecided
256,34526,9,09/28/2020,Bad Number,Undecided
257,310,1,09/28/2020,Left Message,Undecided
258,93843,11,09/30/2020,Left Message,Undecided
259,58164,8,09/29/2020,Left Message,Undecided
260,3497,1,09/28/2020,Left Message,Undecided
261,156245,6,10/02/2020,Left Message,Undecided
262,36100,10,09/28/2020,Left Message,Undecided
263,53355,14,09/28/2020,Bad Number,Undecided
264,145543,3,10/02/2020,Left Message,Undecided
265,24929,1,10/01/2020,Wrong Number,Undecided
266,110986,15,09/30/2020,Bad Number,Undecided
267,67759,10,09/29/2020,Answered,Refused
268,127512,2,10/01/2020,Left Message,Undecided
269,34241,9,09/28/2020,Bad Number,Undecided
270,156321,6,10/02/2020,Left Message,Undecided
271,124684,2,10/01/2020,Left Message,Undecided
272,10016,1,09/29/2020,Wrong Number,Undecided
273,152117,6,10/02/2020,Left Message,Undecided
274,91390,10,09/30/2020,Left Message,Undecided
275,151217,6,10/02/2020,Left Message,Undecided
276,121482,2,10/01/2020,Left Message,Undecided
277,40939,11,09/28/2020,Left Message,Undecided
278,109268,15,09/30/2020,Left Message,Undecided
279,73227,11,09/29/2020,Left Message,Undecided
280,77273,12,09/29/2020,Left Message,Undecided
281,145414,3,10/02/2020,Left Message,Undecided
282,116871,2,10/01/2020,Left Message,Undecided
283,125025,2,10/01/2020,Left Message,Undecided
284,117075,2,10/01/2020,Left Message,Undecided
285,117310,2,10/01/2020,Left Message,Undecided
286,36922,10,09/28/2020,Left Message,Undecided
287,15906,1,09/30/2020,Wrong Number,Undecided
288,141,1,09/28/2020,Left Message,Undecided
289,96186,11,09/30/2020,Answered,Refused
290,138357,13,10/01/2020,Bad Number,Undecided
291,123689,2,10/01/2020,Left Message,Undecided
292,95201,11,09/30/2020,Left Message,Undecided
293,147686,4,10/02/2020,Left Message,Undecided
294,57979,8,09/29/2020,Left Message,Undecided
295,52564,14,09/28/2020,Left Message,Undecided
296,62582,8,09/29/2020,Left Message,Undecided
297,35866,10,09/28/2020,Bad Number,Undecided
298,103442,13,09/30/2020,Left Message,Undecided
299,84,1,09/28/2020,Left Message,Undecided
300,102422,13,09/30/2020,Left Message,Undecided
301,81632,14,09/29/2020,Bad Number,Undecided
302,132007,10,10/01/2020,Bad Number,Undecided
303,97023,12,09/30/2020,Left Message,Undecided
304,17079,1,09/30/2020,Wrong Number,Undecided
305,106456,14,09/30/2020,Left Message,Undecided
306,25042,1,10/01/2020,Wrong Number,Undecided
307,78787,13,09/29/2020,Left Message,Undecided
308,11804,1,09/29/2020,Wrong Number,Undecided
309,91264,10,09/30/2020,Answered,Refused
310,32602,9,09/28/2020,Left Message,Undecided
311,88536,9,09/30/2020,Left Message,Undecided
312,61180,8,09/29/2020,Left Message,Undecided
313,148158,5,10/02/2020,Left Message,Undecided
314,62418,8,09/29/2020,Left Message,Undecided
315,6760,1,09/28/2020,Left Message,Undecided
316,139,1,09/28/2020,Wrong Number,Undecided
317,133262,11,10/01/2020,Bad Number,Undecided
318,60188,8,09/29/2020,Left Message,Undecided
319,129376,8,10/01/2020,Left Message,Undecided
320,35361,10,09/28/2020,Left Message,Undecided
321,1144,1,09/28/2020,Wrong Number,Undecided
322,137914,13,10/01/2020,Bad Number,Undecided
323,85035,15,09/29/2020,Left Message,Undecided
324,61550,8,09/29/2020,Left Message,Undecided
325,37472,11,09/28/2020,Bad Number,Undecided
326,96656,11,09/30/2020,Left Message,Undecided
327,51091,13,09/28/2020,Bad Number,Undecided
328,96021,11,09/30/2020,Left Message,Undecided
329,64042,9,09/29/2020,Left Message,Undecided
330,141779,2,10/02/2020,Left Message,Undecided
331,24688,1,10/01/2020,Wrong Number,Undecided
332,81289,14,09/29/2020,Bad Number,Undecided
333,65890,9,09/29/2020,Left Message,Undecided
334,102771,13,09/30/2020,Left Message,Undecided
335,85714,8,09/30/2020,Left Message,Undecided
336,97804,12,09/30/2020,Bad Number,Undecided
337,62607,8,09/29/2020,Left Message,Undecided
338,108189,14,09/30/2020,Left Message,Undecided
339,81690,14,09/29/2020,Bad Number,Undecided
340,78971,13,09/29/2020,Bad Number,Undecided
341,147931,4,10/02/2020,Left Message,Undecided
342,158404,7,10/02/2020,Answered,No
343,50217,13,09/28/2020,Left Message,Undecided
344,51247,13,09/28/2020,Bad Number,Undecided
345,9862,1,09/28/2020,Left Message,Undecided
346,13776,1,09/29/2020,Answered,Yes
347,29953,8,09/28/2020,Bad Number,Undecided
348,25441,1,10/01/2020,Left Message,Undecided
349,106036,14,09/30/2020,Answered,Refused
350,75079,12,09/29/2020,Answered,Refused
351,145952,3,10/02/2020,Left Message,Undecided
352,53233,14,09/28/2020,Left Message,Undecided
353,119176,2,10/01/2020,Left Message,Undecided
354,141797,2,10/02/2020,Left Message,Undecided
355,2868,1,09/28/2020,Wrong Number,Undecided
356,6124,1,09/28/2020,Wrong Number,Undecided
357,139736,15,10/01/2020,Bad Number,Undecided
